Provider,Provider ID,Provider Name,Provider Parent Provider,Provider Description,Provider Eligibility,Provider Hours,Provider Intake / Application Process,Provider Languages,Provider Program Fees,Provider Shelter Requirements,Provider Volunteer Opportunities,Provider Website Address,Address Type,Address Line1,Address Line2,Address City,Address Province,Address Postal Code,Address County,Address Is Primary Address,Contact Name,Contact Title,Contact Email,Contact Telephone Number,Contact Is Primary Contact,Telephone Number,Telephone Is Primary Telephone,Service Code,Service Code Description,Service Code Type Service,Service Code Out Of Resource,"Geography Served by State, State Name"
ICFH - LITERACY AND EDUCATIONAL DEVELOPMENT - ALL-ABOARD FAMILY LITERACY PROGRAM(122),122,ICFH - LITERACY AND EDUCATIONAL DEVELOPMENT - ALL-ABOARD FAMILY LITERACY PROGRAM,INSTITUTE FOR CHILD AND FAMILY HEALTH(108),"The All-Aboard Family Literacy Program offers a comprehensive literacy based Home Visiting program for families with children ages 0-5 residing at the Community Partnership for the Homeless: Downtown Chapman Center and South Dade Center in Homestead as well as families living within the Comstock Elementary School neighborhoods.  The program focuses on improving the children�??s school readiness and success, while simultaneously supporting and guiding the parents through a child�??s early development.

Primary Services:
1) Home Visits
2) Group Meetings
3) Screenings
4) Access to community resources.",Call for information.,"9:00am-5:00pm, Mon-Fri",Call for information.,"English, Spanish, Creole",Call for information.,,"Yes, call for information.",ICFHinc.org,Physical,Community Partnership for the Homeless - South Dade Center,28205 SW 125 Avenue,Homestead,FL ,33033,Miami-dade,No,Marta Fernandez,Coordinator of Educational Services,mfernandez@icfhinc.org,305-687-2227,Yes,305-687-2227,Yes,PH-6100.6800,Parenting Skills Classes,Primary Services,No,Florida
ICFH - LITERACY AND EDUCATIONAL DEVELOPMENT - ALL-ABOARD FAMILY LITERACY PROGRAM(122),122,ICFH - LITERACY AND EDUCATIONAL DEVELOPMENT - ALL-ABOARD FAMILY LITERACY PROGRAM,INSTITUTE FOR CHILD AND FAMILY HEALTH(108),"The All-Aboard Family Literacy Program offers a comprehensive literacy based Home Visiting program for families with children ages 0-5 residing at the Community Partnership for the Homeless: Downtown Chapman Center and South Dade Center in Homestead as well as families living within the Comstock Elementary School neighborhoods.  The program focuses on improving the children�??s school readiness and success, while simultaneously supporting and guiding the parents through a child�??s early development.

Primary Services:
1) Home Visits
2) Group Meetings
3) Screenings
4) Access to community resources.",Call for information.,"9:00am-5:00pm, Mon-Fri",Call for information.,"English, Spanish, Creole",Call for information.,,"Yes, call for information.",ICFHinc.org,Physical,Community Partnership for the Homeless - Chapman Center,1550 North Miami Avenue,Miami,FL ,33136,Miami-dade,No,Marta Fernandez,Coordinator of Educational Services,mfernandez@icfhinc.org,305-687-2227,Yes,305-687-2227,Yes,PH-6100.6800,Parenting Skills Classes,Primary Services,No,Florida
ICFH - LITERACY AND EDUCATIONAL DEVELOPMENT - ALL-ABOARD FAMILY LITERACY PROGRAM(122),122,ICFH - LITERACY AND EDUCATIONAL DEVELOPMENT - ALL-ABOARD FAMILY LITERACY PROGRAM,INSTITUTE FOR CHILD AND FAMILY HEALTH(108),"The All-Aboard Family Literacy Program offers a comprehensive literacy based Home Visiting program for families with children ages 0-5 residing at the Community Partnership for the Homeless: Downtown Chapman Center and South Dade Center in Homestead as well as families living within the Comstock Elementary School neighborhoods.  The program focuses on improving the children�??s school readiness and success, while simultaneously supporting and guiding the parents through a child�??s early development.

Primary Services:
1) Home Visits
2) Group Meetings
3) Screenings
4) Access to community resources.",Call for information.,"9:00am-5:00pm, Mon-Fri",Call for information.,"English, Spanish, Creole",Call for information.,,"Yes, call for information.",ICFHinc.org,Physical,Comstock Elementary School,2420 NW 18th Avenue,Miami,FL ,33142,Miami-dade,No,Marta Fernandez,Coordinator of Educational Services,mfernandez@icfhinc.org,305-687-2227,Yes,305-687-2227,Yes,PH-6100.6800,Parenting Skills Classes,Primary Services,No,Florida
ICFH - LITERACY AND EDUCATIONAL DEVELOPMENT - ALL-ABOARD FAMILY LITERACY PROGRAM(122),122,ICFH - LITERACY AND EDUCATIONAL DEVELOPMENT - ALL-ABOARD FAMILY LITERACY PROGRAM,INSTITUTE FOR CHILD AND FAMILY HEALTH(108),"The All-Aboard Family Literacy Program offers a comprehensive literacy based Home Visiting program for families with children ages 0-5 residing at the Community Partnership for the Homeless: Downtown Chapman Center and South Dade Center in Homestead as well as families living within the Comstock Elementary School neighborhoods.  The program focuses on improving the children�??s school readiness and success, while simultaneously supporting and guiding the parents through a child�??s early development.

Primary Services:
1) Home Visits
2) Group Meetings
3) Screenings
4) Access to community resources.",Call for information.,"9:00am-5:00pm, Mon-Fri",Call for information.,"English, Spanish, Creole",Call for information.,,"Yes, call for information.",ICFHinc.org,Mailing,ICFH - All-Aboard Family Literacy Program,15490 NW 7th Avenue,Miami,FL ,33169,Miami-dade,Yes,Marta Fernandez,Coordinator of Educational Services,mfernandez@icfhinc.org,305-687-2227,Yes,305-687-2227,Yes,HH-4500.2000,Family Literacy Programs,Primary Services,No,Florida
ICFH - LITERACY AND EDUCATIONAL DEVELOPMENT - ALL-ABOARD FAMILY LITERACY PROGRAM(122),122,ICFH - LITERACY AND EDUCATIONAL DEVELOPMENT - ALL-ABOARD FAMILY LITERACY PROGRAM,INSTITUTE FOR CHILD AND FAMILY HEALTH(108),"The All-Aboard Family Literacy Program offers a comprehensive literacy based Home Visiting program for families with children ages 0-5 residing at the Community Partnership for the Homeless: Downtown Chapman Center and South Dade Center in Homestead as well as families living within the Comstock Elementary School neighborhoods.  The program focuses on improving the children�??s school readiness and success, while simultaneously supporting and guiding the parents through a child�??s early development.

Primary Services:
1) Home Visits
2) Group Meetings
3) Screenings
4) Access to community resources.",Call for information.,"9:00am-5:00pm, Mon-Fri",Call for information.,"English, Spanish, Creole",Call for information.,,"Yes, call for information.",ICFHinc.org,Physical,Community Partnership for the Homeless - South Dade Center,28205 SW 125 Avenue,Homestead,FL ,33033,Miami-dade,No,Marta Fernandez,Coordinator of Educational Services,mfernandez@icfhinc.org,305-687-2227,Yes,305-687-2227,Yes,HH-4500.2000,Family Literacy Programs,Primary Services,No,Florida
ICFH - LITERACY AND EDUCATIONAL DEVELOPMENT - ALL-ABOARD FAMILY LITERACY PROGRAM(122),122,ICFH - LITERACY AND EDUCATIONAL DEVELOPMENT - ALL-ABOARD FAMILY LITERACY PROGRAM,INSTITUTE FOR CHILD AND FAMILY HEALTH(108),"The All-Aboard Family Literacy Program offers a comprehensive literacy based Home Visiting program for families with children ages 0-5 residing at the Community Partnership for the Homeless: Downtown Chapman Center and South Dade Center in Homestead as well as families living within the Comstock Elementary School neighborhoods.  The program focuses on improving the children�??s school readiness and success, while simultaneously supporting and guiding the parents through a child�??s early development.

Primary Services:
1) Home Visits
2) Group Meetings
3) Screenings
4) Access to community resources.",Call for information.,"9:00am-5:00pm, Mon-Fri",Call for information.,"English, Spanish, Creole",Call for information.,,"Yes, call for information.",ICFHinc.org,Physical,Community Partnership for the Homeless - Chapman Center,1550 North Miami Avenue,Miami,FL ,33136,Miami-dade,No,Marta Fernandez,Coordinator of Educational Services,mfernandez@icfhinc.org,305-687-2227,Yes,305-687-2227,Yes,HH-4500.2000,Family Literacy Programs,Primary Services,No,Florida
ICFH - LITERACY AND EDUCATIONAL DEVELOPMENT - ALL-ABOARD FAMILY LITERACY PROGRAM(122),122,ICFH - LITERACY AND EDUCATIONAL DEVELOPMENT - ALL-ABOARD FAMILY LITERACY PROGRAM,INSTITUTE FOR CHILD AND FAMILY HEALTH(108),"The All-Aboard Family Literacy Program offers a comprehensive literacy based Home Visiting program for families with children ages 0-5 residing at the Community Partnership for the Homeless: Downtown Chapman Center and South Dade Center in Homestead as well as families living within the Comstock Elementary School neighborhoods.  The program focuses on improving the children�??s school readiness and success, while simultaneously supporting and guiding the parents through a child�??s early development.

Primary Services:
1) Home Visits
2) Group Meetings
3) Screenings
4) Access to community resources.",Call for information.,"9:00am-5:00pm, Mon-Fri",Call for information.,"English, Spanish, Creole",Call for information.,,"Yes, call for information.",ICFHinc.org,Physical,Comstock Elementary School,2420 NW 18th Avenue,Miami,FL ,33142,Miami-dade,No,Marta Fernandez,Coordinator of Educational Services,mfernandez@icfhinc.org,305-687-2227,Yes,305-687-2227,Yes,HH-4500.2000,Family Literacy Programs,Primary Services,No,Florida
EASTER SEALS - THERAPEUTIC ADULT DAY CARE - HIALEAH(2671),2671,EASTER SEALS - THERAPEUTIC ADULT DAY CARE - HIALEAH,EASTER SEALS SOUTH FLORIDA(2664),"Offers adult day care, including therapeutic recreational activities, nursing services, social worker services including case management, transportation for Hialeah and North West, special diets with 4 meals each day.  Physical, occupational and speech therapy also available.  Support group in Spanish and English for caregivers is also held.",Adults with or without memory loss who require supervision and are in need of socialization and stimulation.,"7:00am-6:00pm, Mon-Fri
8:00am-4:30pm, Sat",Call for information.,"English, Spanish","Medicaid waiver, private payment, government funded.",,"Yes, call for information.",www.miami.easterseals.com,Mailing,489 Hialeah Drive,Suite 7,Hialeah,FL ,33010,Miami-dade,No,Angela Aracena,Director,aaracena@sfl.easterseals.com,305-887-7370,Yes,305-887-7371,No,PH-0320,Adult Day Programs,Primary Services,No,Florida
EASTER SEALS - THERAPEUTIC ADULT DAY CARE - HIALEAH(2671),2671,EASTER SEALS - THERAPEUTIC ADULT DAY CARE - HIALEAH,EASTER SEALS SOUTH FLORIDA(2664),"Offers adult day care, including therapeutic recreational activities, nursing services, social worker services including case management, transportation for Hialeah and North West, special diets with 4 meals each day.  Physical, occupational and speech therapy also available.  Support group in Spanish and English for caregivers is also held.",Adults with or without memory loss who require supervision and are in need of socialization and stimulation.,"7:00am-6:00pm, Mon-Fri
8:00am-4:30pm, Sat",Call for information.,"English, Spanish","Medicaid waiver, private payment, government funded.",,"Yes, call for information.",www.miami.easterseals.com,Physical,489 Hialeah Drive,Suite 7,Hialeah,FL ,33010,Miami-dade,Yes,Angela Aracena,Director,aaracena@sfl.easterseals.com,305-887-7370,Yes,305-887-7371,No,PH-0320,Adult Day Programs,Primary Services,No,Florida
EASTER SEALS - THERAPEUTIC ADULT DAY CARE - HIALEAH(2671),2671,EASTER SEALS - THERAPEUTIC ADULT DAY CARE - HIALEAH,EASTER SEALS SOUTH FLORIDA(2664),"Offers adult day care, including therapeutic recreational activities, nursing services, social worker services including case management, transportation for Hialeah and North West, special diets with 4 meals each day.  Physical, occupational and speech therapy also available.  Support group in Spanish and English for caregivers is also held.",Adults with or without memory loss who require supervision and are in need of socialization and stimulation.,"7:00am-6:00pm, Mon-Fri
8:00am-4:30pm, Sat",Call for information.,"English, Spanish","Medicaid waiver, private payment, government funded.",,"Yes, call for information.",www.miami.easterseals.com,Mailing,489 Hialeah Drive,Suite 7,Hialeah,FL ,33010,Miami-dade,No,Angela Aracena,Director,aaracena@sfl.easterseals.com,305-887-7370,Yes,305-887-7370,Yes,PH-0320,Adult Day Programs,Primary Services,No,Florida
EASTER SEALS - THERAPEUTIC ADULT DAY CARE - HIALEAH(2671),2671,EASTER SEALS - THERAPEUTIC ADULT DAY CARE - HIALEAH,EASTER SEALS SOUTH FLORIDA(2664),"Offers adult day care, including therapeutic recreational activities, nursing services, social worker services including case management, transportation for Hialeah and North West, special diets with 4 meals each day.  Physical, occupational and speech therapy also available.  Support group in Spanish and English for caregivers is also held.",Adults with or without memory loss who require supervision and are in need of socialization and stimulation.,"7:00am-6:00pm, Mon-Fri
8:00am-4:30pm, Sat",Call for information.,"English, Spanish","Medicaid waiver, private payment, government funded.",,"Yes, call for information.",www.miami.easterseals.com,Physical,489 Hialeah Drive,Suite 7,Hialeah,FL ,33010,Miami-dade,Yes,Angela Aracena,Director,aaracena@sfl.easterseals.com,305-887-7370,Yes,305-887-7370,Yes,PH-0320,Adult Day Programs,Primary Services,No,Florida
S.T.E.P.S. IN THE RIGHT DIRECTION - NURTURING PARENTING PROGRAM FOR GRANDPARENTS AND CAREGIVERS(3216),3216,S.T.E.P.S. IN THE RIGHT DIRECTION - NURTURING PARENTING PROGRAM FOR GRANDPARENTS AND CAREGIVERS,"S.T.E.P.S.  IN THE RIGHT DIRECTION, INC.(3213)","The S.T.E.P.S. in the Right Direction, Inc. Parenting Skill-Building Program is designed to offer high quality parenting education to 100 grandparents or family caregivers providing parental support to children between the ages of birth through eighteen years. The program will utilize nationally renowned and TCT approved Nurturing Skills Curriculum to foster strategies that are strength-based, family-centered, accessible, nurturing, and respectful of diversity to the local communities. The ultimate goal of the program is to enhance parenting skills, knowledge of child development, parental resilience, social connections, and help build concrete supports for grandparents and caregivers.

###MON###",Open to all grandparents and caregiver who are raising children whether they have custody or not.,"9:00am-5:00pm, Mon-Fri
9:00am -10:00pm, Sat",Fill out a questionnaire.,"English, Spanish, Creole",Free,,"Yes

Level II Background Screening Required.",www.stepsflorida.org,Mailing,1651 West 37th Street,Suite 406,Hialeah,FL ,33012,Miami-dade,No,Michael Salem,Executive Director,michael@stepsflorida.org,305-231-9936 x222,Yes,786-621-3991,No,PH-6100,Parenting Education,Primary Services,No,Florida
